elapsed_s,method,repeat,rmse,time,timestamp
1.119469,Non-Incremental BLS,0,2.8090815928193407,0.022704875002091285,2026-05-28 10:25:58
1.141332,Non-Incremental BLS,1,2.6585403416574906,0.016053583000029903,2026-05-28 10:25:58
1.160666,Non-Incremental BLS,2,2.3587957012478467,0.014346333002322353,2026-05-28 10:25:58
1.242574,Incremental BLS,0,15.19190068389165,0.0762168750006822,2026-05-28 10:25:58
1.324723,Incremental BLS,1,12.994288468589378,0.07636045800609281,2026-05-28 10:25:58
1.408791,Incremental BLS,2,8.935666517794061,0.07850624999991851,2026-05-28 10:25:58
1.453711,Approximation Method,0,2.843721762342353,0.038727541003027,2026-05-28 10:25:58
1.496558,Approximation Method,1,3.152791876331243,0.037086249998537824,2026-05-28 10:25:58
1.538397,Approximation Method,2,3.0577947315246874,0.03655670800071675,2026-05-28 10:25:58
1.592832,TiBLS,0,2.812719788040206,0.04871949999505887,2026-05-28 10:25:58
1.645661,TiBLS,1,2.657339529511121,0.047247417001926806,2026-05-28 10:25:58
1.698602,TiBLS,2,2.3476259591597297,0.04729750000115018,2026-05-28 10:25:58
1.729569,RI-BLS,0,2.8090775309924596,0.025177374998747837,2026-05-28 10:25:58
1.76002,RI-BLS,1,2.6585476280084195,0.025099250000494067,2026-05-28 10:25:58
1.791233,RI-BLS,2,2.358793340126353,0.025312290999863762,2026-05-28 10:25:58
1.925016,IMF-BLS (Ours),0,2.8090785465602224,0.12824725000245962,2026-05-28 10:25:58
2.05927,IMF-BLS (Ours),1,2.6585480678349667,0.12891587500052992,2026-05-28 10:25:59
2.195495,IMF-BLS (Ours),2,2.358793190636851,0.13057137499708915,2026-05-28 10:25:59
